Il faut que tu termines ceci avant que je parte.|I need you to finish this before I leave.
Il a examiné comment les appels à la nature étaient utilisés idéologiquement pour naturaliser des arrangements sociaux contingents.|He examined how appeals to nature were deployed ideologically to naturalise contingent social arrangements.
Elle a soutenu que le concept de vulnérabilité offrait un point de départ plus précis et plus éthiquement générateur pour la théorie politique que l'autonomie.|She argued that the concept of vulnerability offered a more accurate and ethically generative starting point for political theory than autonomy.
La distinction analytique entre structure et agency éclaire comment les individus agissent dans et contre les contraintes systémiques.|The analytical distinction between structure and agency illuminates how individuals act within and against systemic constraints.
Il a soutenu que les fondements normatifs de la justice mondiale étaient contestés et ne pouvaient pas être dérivés de principes purement procéduraux.|He contended that the normative foundations of global justice were contested and could not be derived from purely procedural principles.
Elle a examiné la relation entre l'accumulation du capital et la formation de l'État à l'époque moderne.|She examined the relationship between capital accumulation and state formation in the early modern period.
La capacité de la société civile à défier le pouvoir de l'État dépend du degré auquel elle maintient son autonomie institutionnelle et son indépendance financière.|The capacity of civil society to challenge state power depends on the degree to which it maintains institutional autonomy and funding independence.
Il a soutenu que la politique d'austérité n'était pas économiquement inévitable mais reflétait des choix idéologiques sur qui devrait supporter les coûts d'ajustement.|He argued that the politics of austerity was not economically inevitable but reflected ideological choices about who should bear adjustment costs.
Elle a soutenu que la sociologie de la connaissance nécessitait l'analyse des conditions sociales dans lesquelles les affirmations de vérité étaient produites et validées.|She maintained that the sociology of knowledge required analysis of the social conditions under which truth claims were produced and validated.
La distinction entre égalité formelle et substantielle révèle l'insuffisance des approches purement procédurales de la justice sociale.|The distinction between formal and substantive equality reveals the inadequacy of purely procedural approaches to social justice.
Il a examiné comment la diffusion mondiale des cours constitutionnelles avait produit à la fois une consolidation démocratique et des tensions contre-majoritaires.|He examined how the global diffusion of constitutional courts had produced both democratic consolidation and counter-majoritarian tensions.
Elle a soutenu que la géo-ingénierie comme réponse au changement climatique posait de profondes questions de gouvernance de consentement et de distribution des risques.|She argued that geoengineering as a response to climate change posed profound questions of governance consent and risk distribution.
Le concept de solidarité épaisse capture les obligations qui naissent de l'histoire commune de lutte et de la mémoire collective.|The concept of thick solidarity captures the obligations that arise within shared histories of struggle and collective memory.
Il a soutenu que les chaînes d'approvisionnement mondiales avaient découplé la production de la responsabilité, créant une impunité structurelle pour les préjudices corporatifs.|He contended that global supply chains had decoupled production from accountability creating structural impunity for corporate harm.
Elle a examiné comment le langage de la gestion des risques était devenu hégémonique dans le discours politique au détriment des approches préventives et fondées sur les droits.|She examined how the language of risk management had become hegemonic in policy discourse at the expense of precautionary and rights-based approaches.
La théorie de la rationalité communicative propose que les normes légitimes émergent de conditions idéalisées de discours non distordu.|The theory of communicative rationality proposes that legitimate norms emerge from idealised conditions of undistorted discourse.
Il a soutenu que les exigences normatives de l'inclusion démocratique ne pouvaient être satisfaites par la seule représentation mais nécessitaient une participation véritable.|He argued that the normative demands of democratic inclusion could not be satisfied by representation alone but required genuine participation.
Elle a soutenu que la politique du temps dans les sociétés capitalistes privilégiait systématiquement les rendements à court terme sur la durabilité sociale et écologique à long terme.|She maintained that the politics of time in capitalist societies systematically privileged short-term returns over long-term social and ecological sustainability.
La transformation des partis politiques de grandes organisations de masse en organisations électorales professionnelles reflète des changements plus larges dans la représentation démocratique.|The transformation of political parties from mass membership organisations to electoral professional organisations reflects broader changes in democratic representation.
Il a soutenu que le concept de droits de propriété était une institution politique qui nécessitait une justification et non une donnée naturelle.|He argued that the concept of property rights was a political institution that required justification not a natural given.
Elle a examiné comment le discours de la modernisation avait été utilisé pour justifier des interventions dans les affaires internes des États postcoloniaux.|She examined how the discourse of modernisation had been used to justify interventions in the internal affairs of post-colonial states.
Le débat philosophique entre réalistes et constructivistes en relations internationales a de profondes implications pour comprendre le comportement des États.|The philosophical debate between realists and constructivists in international relations has profound implications for understanding state behaviour.
Il a soutenu que l'économie des plateformes numériques nécessitait une nouvelle théorie de l'exploitation du travail mise à jour pour le travail immatériel et affectif.|He contended that the digital platform economy required a new theory of labour exploitation updated for immaterial and affective work.
Elle a soutenu que les dimensions éthiques de l'intelligence artificielle nécessitaient non seulement des normes techniques mais aussi une délibération démocratique sur les valeurs.|She argued that the ethical dimensions of artificial intelligence required not just technical standards but democratic deliberation over values.
Le pluralisme des ordres politiques légitimes remet en question les prétentions universalistes de la théorie libérale démocratique sans impliquer le relativisme.|The pluralism of legitimate political orders challenges the universalist claims of liberal democratic theory without implying relativism.
Il a examiné comment les sanctions internationales comme instruments de politique étrangère avaient fréquemment des effets distributifs pervers sur les populations civiles.|He examined how international sanctions as instruments of foreign policy frequently had perverse distributional effects on civilian populations.
Elle a soutenu que l'architecture du droit commercial mondial était biaisée en faveur du capital au détriment du travail et de l'environnement.|She maintained that the architecture of global trade law was skewed in favour of capital at the expense of labour and environment.
L'émergence des données comme forme de capital a transformé la nature de l'accumulation économique et de l'avantage concurrentiel.|The emergence of data as a form of capital has transformed the nature of economic accumulation and competitive advantage.
Il a soutenu que la désobéissance civile était justifiée lorsque les voies légales de changement politique étaient systématiquement bloquées.|He contended that civil disobedience was justified when legal channels for political change were systematically blocked.
Elle a examiné comment la politique urbaine néolibérale avait produit la gentrification comme transformation de l'espace urbain fondée sur la classe.|She examined how neoliberal urban policy had produced gentrification as a class-based transformation of urban space.
Le concept d'intersectionnalité exige l'analyse de la façon dont les systèmes multiples d'oppression opèrent simultanément plutôt qu'additionnellement.|The concept of intersectionality requires analysis of how multiple systems of oppression operate simultaneously rather than additively.
Il a soutenu que l'État régulateur s'était développé par délégation à des agences indépendantes générant des déficits de responsabilité.|He argued that the regulatory state had expanded through delegation to independent agencies generating accountability deficits.
Elle a soutenu que l'émergence des réseaux de défense transnationale avait transformé les conditions de possibilité du changement de normes internationales.|She maintained that the emergence of transnational advocacy networks had transformed the conditions of possibility for international norm change.
Le concept de modernité liquide capture comment la dissolution des formes sociales stables produit à la fois liberté et nouvelles formes de précarité.|The concept of liquid modernity captures how the dissolution of stable social forms produces both freedom and new forms of precarity.
Il a soutenu que la prolifération des cours et tribunaux internationaux n'avait pas résolu les conflits de compétence mais les avait souvent exacerbés.|He argued that the proliferation of international courts and tribunals had not resolved jurisdictional conflicts but often exacerbated them.
Elle a examiné comment la politisation de l'indépendance des banques centrales menaçait l'isolation technocratique de la politique monétaire.|She examined how the politicisation of central bank independence threatened the technocratic insulation of monetary policy.
Le concept de démocratie profonde va au-delà de la compétition électorale pour englober des formes participatives, économiques et culturelles de gouvernance collective.|The concept of deep democracy goes beyond electoral competition to encompass participatory economic and cultural forms of collective governance.
Il a soutenu que l'ordre post-westphalien était caractérisé par des autorités se chevauchant et une souveraineté contestée plutôt que par des hiérarchies claires.|He contended that the post-Westphalian order was characterised by overlapping authorities and contested sovereignty rather than clear hierarchies.
Elle a soutenu que la montée de l'injustice épistémique éclairait les façons dont les groupes marginalisés étaient systématiquement discrédités en tant que sujets de connaissance.|She argued that the rise of epistemic injustice illuminated the ways in which marginalised groups were systematically discredited as knowers.
La marchandisation de l'espace urbain par la spéculation immobilière a produit des paysages d'exclusion dans les villes mondiales.|The commodification of urban space through real estate speculation has produced landscapes of exclusion in global cities.
Il a examiné comment le langage de la politique fondée sur les preuves masquait les jugements normatifs incorporés dans la sélection et l'interprétation des preuves.|He examined how the language of evidence-based policy obscured the normative judgements embedded in the selection and interpretation of evidence.
Elle a soutenu que la sociologie des émotions révélait comment les états affectifs étaient socialement structurés et politiquement mobilisés.|She maintained that the sociology of emotions revealed how affective states were socially structured and politically mobilised.
Le développement inégal du capitalisme produit des inégalités spatiales qui persistent entre les générations et défient les seules solutions de marché.|The uneven development of capitalism produces spatial inequalities that persist across generations and defy market solutions alone.
Il a soutenu que la politique des émotions dans les démocraties contemporaines ne pouvait être réduite à la manipulation mais reflétait des revendications affectives légitimes.|He contended that the politics of emotion in contemporary democracies could not be reduced to manipulation but reflected legitimate affective claims.
Elle a soutenu que la philosophie des sciences sous-tendant la recherche sociale n'était jamais réglée et restait un terrain de véritable contestation théorique.|She argued that the philosophy of science underpinning social research was never settled and remained a site of genuine theoretical contestation.
Le tournant vers la théorie de la complexité en sciences sociales remet en question les modèles causaux linéaires en insistant sur l'émergence les rétroactions et la non-linéarité.|The turn to complexity theory in social science challenges linear causal models by emphasising emergence feedback and non-linearity.
Il a examiné comment la gouvernance mondiale de la propriété intellectuelle reflétait et renforçait les intérêts économiques des industries à forte intensité de connaissance.|He examined how the global governance of intellectual property reflected and reinforced the economic interests of knowledge-intensive industries.
Elle a soutenu que les mini-publics délibératifs offraient un modèle prometteur pour combiner représentation et véritable raisonnement citoyen sur des questions complexes.|She maintained that deliberative mini-publics offered a promising model for combining representation with genuine citizen reasoning on complex issues.
L'économie politique des systèmes alimentaires révèle comment la politique agricole a été façonnée par des groupes d'intérêt concentrés au détriment des consommateurs et de l'environnement.|The political economy of food systems reveals how agricultural policy has been shaped by concentrated interest groups at the expense of consumers and the environment.
Il a soutenu que le concept d'État défaillant obscurcissait les choix politiques et les interventions extérieures qui minaient la capacité de l'État.|He argued that the concept of state failure obscured the political choices and external interventions that undermined state capacity.
Elle a examiné comment la conditionnalité de l'aide sociale avait étendu la surveillance et le pouvoir disciplinaire dans la vie des citoyens les plus pauvres.|She examined how welfare conditionality had extended surveillance and disciplinary power into the lives of the poorest citizens.
La relation entre urbanisation et industrialisation a été historiquement co-constitutive plutôt que séquentielle.|The relationship between urbanisation and industrialisation has been historically co-constitutive rather than sequential.
Il a soutenu que la construction juridique de la personnalité morale des entreprises avait produit des entités avec des droits mais sans véritable responsabilité.|He contended that the legal construction of corporate personhood had produced entities with rights but without genuine accountability.
Elle a soutenu que l'économie politique du logement était centrale pour comprendre les inégalités, la financiarisation et l'exclusion sociale dans le capitalisme contemporain.|She argued that the political economy of housing was central to understanding inequality financialisation and social exclusion in contemporary capitalism.
La persistance des écarts salariaux de genre malgré l'égalité juridique formelle révèle l'inadéquation des seuls cadres libéraux de lutte contre la discrimination.|The persistence of gender wage gaps despite formal legal equality reveals the inadequacy of liberal anti-discrimination frameworks alone.
Il a examiné les fondements philosophiques de la justice distributive et a soutenu qu'aucun principe unique ne suffisait à saisir ses exigences.|He examined the philosophical foundations of distributive justice and argued that no single principle sufficed to capture its demands.
Elle a soutenu que les programmes de lutte contre la pauvreté qui ne s'attaquaient pas au racisme structurel reproduiraient indéfiniment la pauvreté racialisée.|She maintained that anti-poverty programmes that failed to address structural racism would reproduce racialised poverty indefinitely.
L'économie politique des pandémies révèle comment les crises sanitaires sont façonnées par des inégalités préexistantes dans l'accès aux ressources et aux infrastructures de santé publique.|The political economy of pandemics reveals how health crises are shaped by pre-existing inequalities in access to resources and public health infrastructure.
Il a soutenu que le concept de dignité humaine pouvait servir de fondement normatif transcendant à la fois les cadres religieux et laïcs.|He argued that the concept of human dignity could serve as a normative foundation that transcended both religious and secular frameworks.
Elle a examiné comment la politique de la mémoire dans les contextes de génocide façonnait les mécanismes de justice transitionnelle et les processus de réconciliation nationale.|She examined how the politics of memory in genocide contexts shaped transitional justice mechanisms and national reconciliation processes.
Le concept de pouvoir communicatif distingue l'influence légitime obtenue par le dialogue rationnel du pouvoir coercitif exercé par le commandement.|The concept of communicative power distinguishes legitimate influence achieved through rational dialogue from coercive power exercised through command.
Il a soutenu que le chauvinisme de protection sociale représentait une fusion de l'engagement envers l'État-providence et d'une politique nationaliste excluante.|He contended that welfare chauvinism represented a fusion of welfare-state commitment with exclusionary nationalist politics.
Elle a soutenu que la politique de la nostalgie était une puissante ressource mobilisatrice pour les mouvements réactionnaires qui rejetaient la modernité.|She argued that the politics of nostalgia was a powerful mobilising resource for reactionary movements that rejected modernity.
La transformation des services publics en quasi-marchés a généré des pressions de mesurabilité qui déforment la pratique professionnelle.|The transformation of public services into quasi-markets has generated measurability pressures that distort professional practice.
Il a examiné comment l'utilisation stratégique de l'ambiguïté en politique étrangère avait créé des marges de manœuvre au prix de la responsabilité.|He examined how the strategic use of ambiguity in foreign policy created space for manoeuvre at the cost of accountability.
Elle a soutenu que la gouvernance des biens communs mondiaux tels que les océans l'atmosphère et la biodiversité nécessitait de transcender les cadres centrés sur l'État.|She argued that the governance of global commons such as oceans atmosphere and biodiversity required transcending state-centric frameworks.
La catégorie analytique du politique capture une dimension de la vie sociale irréductible à l'économique, à l'administration ou à la morale.|The analytical category of the political captures a dimension of social life irreducible to economics administration or morality.
Il a soutenu que les déficits de gouvernance de la mondialisation exigeaient une innovation démocratique au niveau international au-delà des institutions existantes.|He contended that the governance deficits of globalisation required democratic innovation at international level beyond existing institutions.
Elle a examiné la relation entre la confiance sociale et les performances institutionnelles dans différents contextes politiques et culturels.|She examined the relationship between social trust and institutional performance across different political and cultural contexts.
La logique de l'irresponsabilité collective émerge lorsque des acteurs prennent chacun des décisions individuellement défendables qui ensemble produisent des résultats nuisibles.|The logic of collective irresponsibility emerges when actors each make individually defensible decisions that together produce harmful outcomes.
Il a soutenu que la distinction classique entre sphères publique et privée était elle-même une construction politique aux dimensions genrées.|He argued that the classical distinction between public and private spheres was itself a political construction with gendered dimensions.
Elle a soutenu que le concept de précarité capturait des caractéristiques distinctives du travail contemporain qui n'étaient pas réductibles aux anciennes catégories d'exploitation.|She maintained that the concept of precarity captured distinctive features of contemporary labour that were not reducible to older categories of exploitation.
La crise de la légitimité libérale ne reflète pas seulement l'échec institutionnel mais aussi l'érosion des valeurs normatives qui soutenaient l'ordre libéral.|The crisis of liberal legitimacy reflects not just institutional failure but the attrition of the normative values that sustained liberal order.
Il a examiné comment les gouvernements populistes consolidaient leur pouvoir à travers la colonisation des institutions de la société civile et des médias.|He examined how populist governments consolidated power through the colonisation of civil society institutions and media.
Elle a soutenu que l'urgence climatique exigeait de nouvelles formes de constitutionnalisme écologique au-delà des cadres existants des droits de propriété et économiques.|She argued that the climate emergency demanded new forms of ecological constitutionalism beyond existing property and economic rights frameworks.
La relation entre transparence et responsabilité est complexe puisque plus d'information ne produit pas automatiquement une meilleure gouvernance.|The relationship between transparency and accountability is complex since more information does not automatically produce better governance.
Il a soutenu que l'essor des fonds souverains et du capitalisme d'État remettait en question les hypothèses sur le lien nécessaire entre capitalisme et gouvernance libérale.|He contended that the rise of sovereign wealth funds and state capitalism challenged assumptions about the necessary link between capitalism and liberal governance.
Elle a examiné la généalogie de l'État-providence et a soutenu que ses origines étaient autant disciplinaires qu'émancipatrices.|She examined the genealogy of the welfare state and argued that its origins were as much disciplinary as emancipatory.
Le problème d'échelle est central en théorie démocratique puisque les pratiques qui fonctionnent au niveau local peuvent échouer aux niveaux national ou mondial.|The problem of scale is central to democratic theory since practices that work at local level may fail at national or global level.
Il a soutenu que le recul démocratique dans des conditions formellement légales posait des défis analytiques et normatifs plus grands que les coups d'État ouverts.|He argued that democratic backsliding under formally legal conditions posed greater analytical and normative challenges than outright coups.
Elle a soutenu que les catégories d'inclusion et d'exclusion dans la législation sur la citoyenneté étaient elles-mêmes productives de sujets politiques particuliers.|She maintained that the categories of inclusion and exclusion in citizenship law were themselves productive of particular political subjects.
L'analyse critique du discours du développement révèle comment il a constitué le Sud Global comme un objet d'intervention et de production de connaissances.|The critical analysis of development discourse reveals how it constituted the Global South as an object of intervention and knowledge production.
Il a examiné comment la construction sociale de la confiance dans les marchés financiers dépendait de mécanismes performatifs incluant les notations le scoring crédit et l'audit.|He examined how the social construction of trust in financial markets depended on performative mechanisms including ratings credit scoring and auditing.
Elle a soutenu que la phénoménologie de la violence politique ne pouvait pas être saisie par des modèles purement stratégiques ou d'acteurs rationnels.|She argued that the phenomenology of political violence could not be captured through purely strategic or rational actor models.
La mondialisation du risque a créé des interdépendances qui dépassent la capacité réglementaire de tout État ou institution internationale.|The globalisation of risk has created interdependencies that exceed the regulatory capacity of any single state or international institution.
Il a soutenu que la politique de la reconnaissance ne pouvait être réduite à la politique identitaire mais engageait des questions fondamentales d'ontologie sociale.|He contended that the politics of recognition could not be reduced to identity politics but engaged fundamental questions of social ontology.
Elle a examiné les contradictions inhérentes au concept de capitalisme durable et si elles étaient résolubles dans le cadre des relations de propriété existantes.|She examined the contradictions inherent in the concept of sustainable capitalism and whether they were resolvable within existing property relations.
La distinction entre la sécurité comme absence de menace et la sécurité comme capacité d'autodétermination reflète des ontologies politiques fondamentalement différentes.|The distinction between security as absence of threat and security as capacity for self-determination reflects fundamentally different political ontologies.
Il a soutenu que la théorie de la paix démocratique nécessitait des nuances puisque les démocraties s'étaient constamment engagées dans des violences impériales contre des peuples non démocratiques.|He argued that the democratic peace theory required qualification since democracies had consistently engaged in imperial violence against non-democratic peoples.
Elle a soutenu que la flexibilité du marché du travail était une catégorie politique plutôt que technique, dissimulant des conflits distributifs.|She maintained that labour market flexibility was a political rather than a technical category concealing distributional conflicts.
La production de l'ignorance est aussi politiquement significative que la production du savoir puisqu'elle détermine les questions qui peuvent être posées.|The production of ignorance is as politically significant as the production of knowledge since it determines what questions can be asked.
Il a examiné comment les discours du risque étaient utilisés pour dépolitiser les problèmes sociaux en les recadrant comme des défis techniques nécessitant une gestion d'experts.|He examined how discourses of risk were used to de-politicise social problems by reframing them as technical challenges requiring expert management.
Elle a soutenu que la dissociation entre la propriété économique et le contrôle effectif dans les entreprises modernes créait des problèmes de principal-agent résistants aux solutions standards.|She argued that the decoupling of economic ownership from effective control in modern corporations created principal-agent problems resistant to standard solutions.
Le concept juridique du jus cogens établit que certaines normes sont si fondamentales qu'aucun État ne peut y déroger même avec consentement.|The legal concept of jus cogens establishes that some norms are so fundamental that no state can derogate from them even by consent.
Il a soutenu que le passage du gouvernement à la gouvernance reflétait un évidement de l'autorité de l'État plutôt qu'une extension neutre de la coordination.|He contended that the shift from government to governance reflected a hollowing out of state authority rather than a neutral extension of coordination.
Elle a examiné comment la gouvernance de la migration s'était de plus en plus externalisée lorsque les États d'accueil cherchaient à empêcher les demandeurs d'asile d'atteindre leur territoire.|She examined how the governance of migration had become increasingly externalised as receiving states sought to prevent asylum seekers from reaching their territory.
Le concept de boomerang impérial décrit comment les techniques de pouvoir développées dans les colonies ont été ensuite appliquées aux populations métropolitaines.|The concept of imperial boomerang describes how techniques of power developed in colonies were subsequently applied to metropolitan populations.
Il a soutenu que l'éthique du lancement d'alerte nécessitait d'équilibrer les obligations envers les employeurs avec les obligations envers l'intérêt public.|He argued that the ethics of whistleblowing required balancing obligations to employers with obligations to the public interest.
Elle a soutenu que les théories de la démocratie délibérative devaient confronter les conditions structurelles qui excluaient les groupes marginalisés de la délibération publique.|She maintained that theories of deliberative democracy had to confront the structural conditions that excluded marginalised groups from public deliberation.
L'émergence des sociétés militaires privées a remis en question les hypothèses traditionnelles sur le monopole de l'État sur l'usage légitime de la force.|The emergence of private military companies has challenged traditional assumptions about the state's monopoly on the legitimate use of force.
Il a examiné comment l'économie politique du commerce de carbone avait produit des incitations perverses et des bénéfices environnementaux limités.|He examined how the political economy of carbon trading had produced perverse incentives and limited environmental benefits.
Elle a soutenu que la démocratie radicale nécessitait non seulement une réforme institutionnelle mais aussi la transformation des relations de domination dans la vie quotidienne.|She argued that radical democracy required not just institutional reform but the transformation of relations of domination in everyday life.
Le concept normatif de justice mondiale remet en question les conceptions parochiales de justice qui limitent les obligations aux conationnaux.|The normative concept of global justice challenges parochial conceptions of justice that limit obligations to co-nationals.
Il a soutenu que la tradition des communs offrait une alternative à la fois à la fourniture par l'État et à l'allocation par le marché des ressources essentielles.|He contended that the commons tradition offered an alternative to both state provision and market allocation of essential resources.
Elle a examiné les tensions au sein de la théorie juridique féministe entre égalité formelle et justice substantielle dans le droit anti-discrimination.|She examined the tensions within feminist legal theory between formal equality and substantive justice in anti-discrimination law.
La théorie de l'action communicative propose que l'intégration sociale peut être réalisée par un consensus rationnel plutôt que par un comportement stratégique.|The theory of communicative action proposes that social integration can be achieved through rational consensus rather than strategic behaviour.
Il a soutenu que l'État fiscal et l'État social avaient co-évolué de manière à lier le capital et le travail dans des dépendances mutuelles.|He argued that the fiscal state and the social state had co-evolved in ways that bound capital and labour in mutual dependencies.
Elle a soutenu que la prolifération des métriques et des classements dans l'éducation avait produit des effets pervers sur la culture académique et les comportements institutionnels.|She maintained that the proliferation of metrics and rankings in education had produced perverse effects on academic culture and institutional behaviour.
La persistance des héritages coloniaux dans le droit postcolonial reflète les limites de la décolonisation formelle et la reproduction du pouvoir structurel.|The persistence of colonial legacies in postcolonial law reflects the limits of formal decolonisation and the reproduction of structural power.
Il a examiné comment l'audit des performances dans l'administration publique avait produit une culture de conformité plutôt qu'une amélioration réelle.|He examined how performance auditing in public administration produced a culture of compliance rather than genuine improvement.
Elle a soutenu que la politique du deuil et du deuil était centrale à la vie politique d'une manière que la théorie libérale avait systématiquement sous-estimée.|She argued that the politics of grief and mourning were central to political life in ways that liberal theory had systematically underestimated.
Le cadre analytique de l'analyse des structures de pouvoir révèle que l'autorité institutionnelle formelle peut être moins décisive que les réseaux informels.|The analytical framework of power structure analysis reveals that formal institutional authority may be less decisive than informal networks.
Il a soutenu que l'émergence du risque catastrophique posait des défis fondamentaux aux cadres existants de gouvernance d'assurance et de responsabilité.|He contended that the emergence of catastrophic risk posed fundamental challenges to existing frameworks of governance insurance and liability.
Elle a examiné les contradictions entre les revendications universalistes des droits humains internationaux et les fondements particularistes de la souveraineté de l'État.|She examined the contradictions between the universalist claims of international human rights and the particularist foundations of state sovereignty.
Le passage de formes hiérarchiques à des formes de gouvernance en réseau a produit de nouveaux défis de coordination et des lacunes de responsabilité.|The shift from hierarchical to networked forms of governance has produced new coordination challenges and accountability gaps.
Il a soutenu que l'ontologie sociale des marchés était un accomplissement politique continu plutôt qu'un ordre naturel ou spontané.|He argued that the social ontology of markets was an ongoing political accomplishment rather than a natural or spontaneous order.
Elle a soutenu que la production de sujets politiques à travers le discours de l'aide sociale révélait les dimensions biopolitiques de la politique sociale.|She maintained that the production of political subjects through welfare discourse revealed biopolitical dimensions of social policy.
Le concept de structures d'opportunité politique éclaire pourquoi les mouvements sociaux émergent et réussissent dans certains contextes mais pas dans d'autres.|The concept of political opportunity structures illuminates why social movements emerge and succeed in some contexts but not others.
Il a examiné comment la rationalité limitée et les biais cognitifs façonnaient les processus réels de prise de décision politique et bureaucratique.|He examined how bounded rationality and cognitive biases shaped the actual processes of political and bureaucratic decision-making.
Elle a soutenu que l'effondrement de l'Union soviétique avait produit une dynamique du tout-au-vainqueur dans le discours du capitalisme contre le socialisme.|She argued that the collapse of the Soviet Union had produced winner-takes-all dynamics in the discourse of capitalism versus socialism.
Le concept de moments critiques dans l'institutionnalisme historique décrit des moments où les dépendances de chemin sont temporairement suspendues et des alternatives deviennent possibles.|The concept of critical junctures in historical institutionalism describes moments when path dependencies are temporarily suspended and alternatives become possible.
Il a soutenu que les humanités environnementales offraient un correctif nécessaire aux approches purement scientifiques de la crise écologique.|He contended that the environmental humanities offered a necessary corrective to purely scientific approaches to ecological crisis.
Elle a examiné comment la surveillance numérique avait transformé la production sociale de l'identité à travers les traces les données et l'inférence algorithmique.|She examined how digital surveillance had transformed the social production of identity through traces data and algorithmic inference.
La distinction analytique entre la politique d'échelle et la politique du lieu capture des dimensions différentes de l'économie politique spatiale.|The analytical distinction between the politics of scale and the politics of place captures different dimensions of spatial political economy.
Il a soutenu que la crise de légitimité du droit commercial international reflétait son incapacité à incorporer adéquatement les normes du travail et de l'environnement.|He argued that the legitimacy crisis of international trade law reflected its failure to incorporate labour and environmental standards adequately.
Elle a soutenu que l'organisation sociale de la sexualité était une question politique qui dépassait à la fois l'explication biologique et psychologique.|She maintained that the social organisation of sexuality was a political matter that exceeded both biological and psychological explanation.
L'émergence des neurosciences comme ressource dans l'argumentation juridique et politique soulève des questions difficiles sur le déterminisme l'agence et la responsabilité.|The emergence of neuroscience as a resource in legal and political argument raises difficult questions about determinism agency and responsibility.
Il a examiné l'économie politique de l'expertise et comment les prétentions au savoir professionnel étaient à la fois une ressource de pouvoir et une source de responsabilité.|He examined the political economy of expertise and how professional knowledge claims were both a resource for power and a source of accountability.
Elle a soutenu que le concept politique de foyer englobait non seulement l'abri physique mais aussi l'appartenance la reconnaissance et la sécurité ontologique.|She argued that the political concept of home encompassed not just physical shelter but belonging recognition and ontological security.
Le concept de résilience autoritaire remet en question les paradigmes de transition en expliquant pourquoi certains régimes non démocratiques survivent et s'adaptent.|The concept of authoritarian resilience challenges transitional paradigms by explaining why some non-democratic regimes survive and adapt.
Il a soutenu que les normes sociales plutôt que les lois formelles étaient souvent plus décisives pour façonner le comportement dans les cadres institutionnels.|He argued that social norms rather than formal laws were often more decisive in shaping behaviour in institutional settings.
Elle a examiné la relation entre le principe de précaution et la réglementation fondée sur les preuves comme approches concurrentes de la gouvernance des risques.|She examined the relationship between the precautionary principle and evidence-based regulation as competing approaches to risk governance.
Le concept de cohérentisme mince en philosophie politique suggère qu'un consensus qui se chevauche entre différentes doctrines peut fournir des fondements stables mais minimaux pour la justice.|The concept of thin coherentism in political philosophy suggests that overlapping consensus across different doctrines can provide stable but minimal grounds for justice.
Il a soutenu que la politique de reconnaissance et de redistribution étaient analytiquement distinctes mais pratiquement imbriquées.|He contended that the politics of recognition and redistribution were analytically distinct but practically intertwined.
Elle a soutenu que la transformation de la guerre par les systèmes autonomes soulevait des défis profonds pour les lois existantes des conflits armés.|She argued that the transformation of warfare through autonomous systems raised profound challenges to existing laws of armed conflict.
Le concept analytique de la résistance quotidienne capture la façon dont les groupes subordonnés résistent au pouvoir de manière qui ne prend pas de forme politique explicite.|The analytical concept of everyday resistance captures how subordinate groups resist power in ways that do not take explicit political form.
Il a examiné comment le concept de capital humain avait reconfiguré l'éducation d'un droit social à un investissement dans la productivité individuelle.|He examined how the concept of human capital had reconfigured education from a social right to an investment in individual productivity.
Elle a soutenu que les multinationales occupaient une position structurelle qui leur donnait une influence disproportionnée sur les régimes réglementaires mondiaux.|She maintained that transnational corporations occupied a structural position that gave them disproportionate influence over global regulatory regimes.
La tradition philosophique de l'agonisme propose que la démocratie nécessite non pas l'élimination du conflit mais son institutionnalisation productive.|The philosophical tradition of agonism proposes that democracy requires not the elimination of conflict but its productive institutionalisation.
Il a soutenu que la nostalgie impériale était un affect politiquement significatif qui façonnait la politique conservatrice et nationaliste contemporaine.|He argued that imperial nostalgia was a politically significant affect that shaped contemporary conservative and nationalist politics.
Elle a examiné la position structurelle de la classe moyenne et son rôle à la fois comme force stabilisatrice et source de volatilité politique.|She examined the structural position of the middle class and its role as both a stabilising force and a source of political volatility.
L'émergence des monnaies numériques et de la finance décentralisée pose des défis fondamentaux aux cadres existants de souveraineté monétaire.|The emergence of digital currencies and decentralised finance poses fundamental challenges to existing frameworks of monetary sovereignty.
Il a soutenu que la relation entre sécurité et liberté n'était pas un simple compromis mais une constitution mutuelle plus complexe.|He contended that the relationship between security and liberty was not a simple trade-off but a more complex mutual constitution.
Elle a soutenu que l'épistémologie féministe du point de vue éclairait la façon dont la position des connaissants façonnait ce qui pouvait être connu.|She argued that feminist standpoint epistemology illuminated how the position of knowers shaped what could be known.
La relation entre souveraineté et territoire dans le droit international est de plus en plus contestée par les espaces numériques les flux transfrontaliers et les acteurs apatrides.|The relationship between sovereignty and territory in international law is increasingly contested by digital spaces cross-border flows and stateless actors.
Il a examiné comment la capacité administrative de l'État façonnait sa capacité à mettre en œuvre efficacement des politiques redistributives.|He examined how the administrative capacity of the state shaped its ability to implement redistributive policies effectively.
Elle a soutenu que l'économie politique de la terre révélait comment les droits de propriété étaient appliqués à travers le pouvoir de l'État et la dépossession coloniale.|She maintained that the political economy of land revealed how property rights were enforced through state power and colonial dispossession.
La théorie du fédéralisme fiscal explore comment la division de l'autorité de dépense entre les niveaux de gouvernement affecte l'efficience et l'équité.|The theory of fiscal federalism explores how the division of spending authority between levels of government affects efficiency and equity.
