Si elle n'était pas intervenue au dernier moment, le projet aurait été abandonné.|Had she not intervened at the last moment, the project would have been abandoned.
Elle a soutenu que le concept de réalisabilité multiple, central au débat sur le fonctionnalisme en philosophie de l'esprit, soutient que le même type d'état mental peut être réalisé dans des substrats physiques différents, rendant la théorie de l'identité de type intenable et plaidant pour une caractérisation fonctionnelle.|She maintained that the concept of multiple realisability, central to the philosophy of mind debate over functionalism, holds that the same mental state type can be realised in different physical substrates making type identity theory untenable and arguing for functional characterisation.
Il a soutenu que la conscience phénoménale pose le défi le plus sérieux aux théories fonctionnalistes de l'esprit car le caractère qualitatif intrinsèque de l'expérience semble être laissé de côté par tout compte purement fonctionnel qui spécifie les états mentaux seulement en termes de leurs rôles causaux.|He contended that phenomenal consciousness poses the most serious challenge to functionalist theories of mind because the intrinsic qualitative character of experience seems to be left out by any purely functional account that specifies mental states only in terms of their causal roles.
Elle a soutenu que le concept de fonctionnalisme en philosophie de l'esprit soutient que les états mentaux sont définis par leurs rôles fonctionnels leurs relations causales aux entrées sorties et autres états mentaux rendant leur réalisation physique non pertinente pour leur nature mentale.|She argued that the concept of functionalism in the philosophy of mind holds that mental states are defined by their functional roles their causal relations to inputs outputs and other mental states making their physical realisation irrelevant to their mental nature.
Il a soutenu que le concept d'identité personnelle au cours du temps soulève des puzzles philosophiques fondamentaux sur ce qui fait qu'une personne à un moment est la même personne à un autre moment, Locke insistant sur la continuité psychologique, Parfit remettant en question l'importance de l'identité et les théories de la continuité physique.|He maintained that the concept of personal identity over time raises fundamental philosophical puzzles about what makes a person at one time the same person at another time with Locke emphasising psychological continuity Parfit questioning the importance of identity and physical continuity theories.
Elle a soutenu que la vue réductionniste de Derek Parfit sur l'identité personnelle dans Reasons and Persons soutient que les personnes n'ont pas un statut de fait profond supplémentaire au-delà de la connexité et de la continuité psychologiques et que cela a de profondes implications pour la rationalité et l'éthique.|She contended that Derek Parfit's reductionist view of personal identity in Reasons and Persons holds that persons do not have a deep further fact status over and above psychological connectedness and continuity and that this has profound implications for rationality and ethics.
Il a soutenu que le concept de chance morale, analysé par Nagel et Williams, révèle une tension profonde dans nos pratiques morales entre tenir les gens responsables de leurs actions et reconnaître que beaucoup de ce qui détermine les résultats échappe à leur contrôle.|He argued that the concept of moral luck, analysed by Nagel and Williams, reveals a profound tension in our moral practices between holding people responsible for their actions and acknowledging that much of what determines outcomes is beyond their control.
Elle a soutenu que le concept d'équilibre réfléchi dans la méthode de justification de Rawls soutient que la justification normative procède en cherchant la cohérence entre nos jugements particuliers réfléchis et les principes généraux en révisant chacun à la lumière de l'autre.|She maintained that the concept of reflective equilibrium in Rawls's method of justification holds that normative justification proceeds by seeking coherence between our considered particular judgments and general principles revising each in light of the other.
Il a soutenu que le concept du principe de différence dans la théorie de la justice de Rawls soutient que les inégalités sociales et économiques ne sont justifiées que si elles bénéficient aux membres les moins avantagés de la société, la justice exigeant une attention systématique à la position des plus défavorisés.|He contended that the concept of the difference principle in Rawls's theory of justice holds that social and economic inequalities are only justified if they benefit the least advantaged members of society making justice require systematic attention to the position of the worst-off.
Elle a soutenu que la théorie des droits de Robert Nozick en matière de justice dans Anarchy, State and Utopia soutient que les distributions sont justes si elles résultent d'échanges libres à partir d'une acquisition originale juste et que tout principe de distribution à pattern nécessite une violation continue des droits individuels.|She argued that Robert Nozick's entitlement theory of justice in Anarchy State and Utopia holds that distributions are just if they arise through free exchange from a just original acquisition and that any patterned principle of distribution requires continuous violation of individual rights.
Il a soutenu que le débat philosophique entre le libertarisme et l'égalitarisme sur la justice distributive révèle une tension fondamentale entre le respect des droits et libertés individuels de propriété et l'assurance que chacun dispose de ressources suffisantes pour une autonomie véritable et une égalité des chances.|He maintained that the philosophical debate between libertarianism and egalitarianism over distributive justice reveals a fundamental tension between respecting individual property rights and freedoms and ensuring that everyone has sufficient resources for genuine autonomy and equality of opportunity.
Elle a soutenu que le concept de suffisantarisme en justice distributive soutient que ce qui importe le plus moralement n'est pas l'égalité en soi mais s'assurer que tout le monde a assez, en priorité l'élimination de la privation sur la réduction de l'inégalité parmi les non-privés.|She contended that the concept of sufficientarianism in distributive justice holds that what matters most morally is not equality per se but ensuring that everyone has enough prioritising the elimination of deprivation over reducing inequality among the non-deprived.
Il a soutenu que le concept d'égalitarisme de la chance, associé à Cohen, Dworkin et Arneson, soutient que la justice requiert de neutraliser les effets de la malchance brute sur les perspectives de vie des individus tout en permettant les conséquences de la malchance optionnelle résultant de choix volontaires.|He argued that the concept of luck egalitarianism associated with Cohen Dworkin and Arneson holds that justice requires neutralising the effects of bad brute luck on individuals' life prospects while allowing consequences of option luck resulting from voluntary choices.
Elle a soutenu que le concept philosophique de contrat social dans sa lecture contemporaine est mieux compris comme un dispositif pour modéliser les conditions d'une autorité politique justifiée plutôt que comme un compte historique des origines de la société politique.|She maintained that the philosophical concept of social contract in its contemporary reading is best understood as a device for modelling the conditions of justified political authority rather than as a historical account of the origins of political society.
Il a soutenu que la philosophie analytique du langage fait face au défi du problème de Frege-Geach pour les théories expressivistes du discours moral qui montre que les phrases morales enchâssées dans des composés logiques ne peuvent être comprises comme de simples expressions d'attitude puisque leur comportement logique requiert un contenu propositionnel.|He contended that the analytic philosophy of language faces the challenge of the Frege-Geach problem for expressivist theories of moral discourse which shows that moral sentences embedded in logical compounds cannot be understood as mere expressions of attitude since their logical behaviour requires propositional content.
Elle a soutenu que le concept de concepts éthiques épais dans l'éthique de Bernard Williams décrit des concepts comme cruel courageux et juste qui sont simultanément descriptifs et évaluatifs et que la distinction entre fait et valeur est problématique pour comprendre le langage éthique.|She argued that the concept of thick ethical concepts in Bernard Williams's ethics describes concepts like cruel brave and just that are simultaneously descriptive and evaluative and that the distinction between fact and value is problematic for understanding ethical language.
Il a soutenu que le concept de particularisme moral, associé à Jonathan Dancy, soutient que la pertinence morale de toute caractéristique d'une situation peut changer selon le contexte et qu'aucun principe moral n'a d'application invariante rendant l'éthique fondamentalement au cas par cas.|He maintained that the concept of moral particularism, associated with Jonathan Dancy, holds that the moral relevance of any feature of a situation can change depending on context and that no moral principle has invariant application making ethics fundamentally case-by-case.
Elle a soutenu que le débat contemporain sur les intuitions morales en théorie éthique soulève des questions sur le statut épistémique des jugements moraux pré-théoriques certains les voyant comme des données fiables et d'autres comme de simples produits de la contingence évolutionnaire des biais et du conditionnement culturel.|She contended that the contemporary debate over moral intuitions in ethical theory raises questions about the epistemic status of pre-theoretical moral judgments with some viewing them as reliable data points and others as mere products of evolutionary contingency biases and cultural conditioning.
Il a soutenu que le concept de progrès moral soulève des questions philosophiques fondamentales sur ce que signifie le fait que la morale s'améliore si un standard moral objectif existe contre lequel le progrès peut être mesuré et comment rendre compte de l'expansion historique des cercles moraux.|He argued that the concept of moral progress raises fundamental philosophical questions about what it means for morality to improve whether there is an objective moral standard against which progress can be measured and how to account for the historical expansion of moral circles.
Elle a soutenu que le concept d'identité pratique dans l'éthique néo-kantienne de Christine Korsgaard soutient que ce que nous sommes obligés de faire est déterminé par les identités pratiques que nous endossons réflexivement créant des obligations normatives à travers la structure de l'auto-constitution réflexive.|She maintained that the concept of practical identity in Christine Korsgaard's neo-Kantian ethics holds that what we are obligated to do is determined by the practical identities we reflectively endorse creating normative obligations through the structure of reflective self-constitution.
Il a soutenu que le concept d'autonomie en philosophie morale et politique décrit la capacité des agents à se gouverner selon leurs propres principes et que respecter l'autonomie requiert de traiter les personnes comme des fins en elles-mêmes et non simplement comme des moyens générant des contraintes fondamentales sur le traitement permissible.|He contended that the concept of autonomy in moral and political philosophy describes the capacity of agents to govern themselves according to their own principles and that respecting autonomy requires treating persons as ends in themselves and not merely as means generating foundational constraints on permissible treatment.
Elle a soutenu que le concept de dignité comme concept moral fondamental, développé dans l'éthique kantienne et adopté dans le droit international des droits humains, soutient que toutes les personnes ont une valeur inhérente qui ne peut être réduite à un prix de marché ou échangée contre des gains d'utilité.|She argued that the concept of dignity as a foundational moral concept, developed in Kantian ethics and adopted in international human rights law, holds that all persons have an inherent worth that cannot be reduced to market price or exchanged for utility gains.
Il a soutenu que le contractualisme en éthique tel qu'articulé par T.M. Scanlon soutient qu'une action est injuste si elle est régie par un principe que personne ne pourrait raisonnablement rejeter, fondant la moralité dans ce que nous nous devons mutuellement en tant que membres de la communauté morale.|He maintained that contractualism in ethics as articulated by T.M. Scanlon holds that an action is wrong if it is governed by a principle that no one could reasonably reject grounding morality in what we owe to each other as members of the moral community.
Elle a soutenu que le concept de double effet en philosophie morale, associé à Aquinas et analysé par Foot et Thomson, soutient qu'il y a une différence moralement significative entre vouloir intentionnellement un dommage et le prévoir comme effet secondaire tout en poursuivant un bien.|She contended that the concept of double effect in moral philosophy, associated with Aquinas and later analysed by Foot and Thomson, holds that there is a morally significant difference between intending harm and foreseeing it as a side effect when pursuing a good end.
Il a soutenu que l'expérience de pensée du problème du tramway, introduite par Foot et développée par Thomson, révèle une tension profonde entre le raisonnement conséquentialiste et déontologique nous forçant à confronter si la permissibilité du dommage dépend de la façon dont il est causé.|He argued that the trolley problem thought experiment, introduced by Foot and developed by Thomson, reveals a deep tension in moral thinking between consequentialist and deontological reasoning forcing us to confront whether the permissibility of harm depends on how it is caused.
Elle a soutenu que l'éthique féministe défie la philosophie morale dominante pour son biais vers l'impartialité abstraite et plaide pour l'importance des relations particulières des responsabilités de soin de la vulnérabilité et de la nature incarnée et située des agents moraux.|She maintained that feminist ethics challenges mainstream moral philosophy for its bias toward abstract impartiality and argues for the importance of particular relationships caring responsibilities vulnerability and the embodied situated nature of moral agents.
Il a soutenu que la philosophie de la peine fait face à des questions fondamentales de justification entre les théories rétributives qui fondent la punition dans le mérite et les théories conséquentialistes qui la justifient par ses effets dissuasifs incapacitants ou réhabililitants sur la criminalité future.|He contended that the philosophy of punishment faces fundamental questions about justification between retributive theories that ground punishment in desert and consequentialist theories that justify it by its deterrent incapacitative or rehabilitative effects on future crime.
Elle a soutenu que le concept de responsabilité en philosophie morale requiert de distinguer entre responsabilité causale, responsabilité morale, imputabilité et obligation de réparer, chacune avec des conditions différentes et des implications différentes pour le blâme, l'éloge et les obligations correctives.|She argued that the concept of responsibility in moral philosophy requires distinguishing between causal responsibility moral responsibility accountability and liability each with different conditions and different implications for blame praise and remedial obligations.
Il a soutenu que le concept de loi naturelle en philosophie politique et juridique soutient qu'il existe un ordre moral objectif découvrable par la raison auquel le droit positif doit se conformer et que les lois positives injustes manquent d'obligatoriété morale totale avec Aquinas, Locke et Finnis comme principaux partisans.|He maintained that the concept of natural law in political and legal philosophy holds that there is an objective moral order discoverable by reason that positive law must conform to and that unjust positive laws lack full moral obligatoriness with Aquinas Locke and Finnis as major proponents.
Elle a soutenu que le positivisme juridique en philosophie du droit, associé à Austin, Hart et Raz, soutient que l'existence et le contenu du droit dépendent de faits sociaux sur ce qui a été édicté et non de ses mérites, générant la célèbre thèse de la séparabilité entre droit et moralité.|She contended that legal positivism in philosophy of law, associated with Austin Hart and Raz, holds that the existence and content of law depends on social facts about what has been enacted and not on its merits generating the famous separability thesis between law and morality.
Il a soutenu que l'interprétivisme de Ronald Dworkin en philosophie du droit soutient que le droit n'est pas simplement des règles édictées mais inclut les principes que la meilleure interprétation de la pratique juridique requiert et qu'il y a une bonne réponse aux cas juridiques difficiles générée par ces principes et valeurs.|He argued that Ronald Dworkin's interpretivism in legal philosophy holds that law is not merely enacted rules but includes the principles that the best interpretation of legal practice requires and that there is one right answer to hard legal cases generated by these principles and values.
Elle a soutenu que le concept des études juridiques critiques, apparu dans les années 1970 et 1980, soutient que le droit n'est pas neutre ni apolitique mais reflète et reproduit les structures de pouvoir existantes et que la doctrine juridique est souvent indéterminée et ouverte à la contestation politique.|She maintained that the concept of critical legal studies, emerging in the 1970s and 1980s, argues that law is not neutral or apolitical but reflects and reproduces existing power structures and that legal doctrine is often indeterminate and open to political contestation.
Il a soutenu que le concept de pluralisme constitutionnel dans la théorie juridique européenne décrit la coexistence de plusieurs ordres constitutionnels au sein de l'Union européenne chacun faisant des revendications d'autorité ultime créant une nouvelle forme d'ordre juridique sans sommet hiérarchique unique.|He contended that the concept of constitutional pluralism in European legal theory describes the coexistence of multiple constitutional orders within the European Union each making ultimate authority claims creating a new form of legal order without a single hierarchical summit.
Elle a soutenu que le concept de proportionnalité en droit constitutionnel et international est devenu une méthode dominante d'adjudication équilibrant les droits et intérêts concurrents, mais les critiques soutiennent qu'il donne aux tribunaux une discrétion excessive et substitue des jugements judiciaires à des jugements démocratiques.|She argued that the concept of proportionality in constitutional and international law has become a dominant method of adjudication balancing competing rights and interests but critics argue it gives courts excessive discretion and substitutes judicial for democratic judgments.
Il a soutenu que le concept de crise de légitimité décrit des situations où les institutions politiques existantes perdent leur prétention à l'autorité aux yeux des citoyens créant des conditions pour soit un renouveau démocratique un changement transformateur soit une réaction autoritaire.|He maintained that the concept of legitimacy crisis describes situations where existing political institutions lose their claim to authority in the eyes of citizens creating conditions for either democratic renewal transformative change or authoritarian backlash.
Elle a soutenu que le concept de justice transitionnelle décrit l'ensemble des mécanismes judiciaires et non judiciaires que les sociétés utilisent lors de leur transition du régime autoritaire ou du conflit armé vers la paix et la démocratie pour faire face aux héritages des atrocités de masse et des violations des droits humains.|She contended that the concept of transitional justice describes the set of judicial and non-judicial mechanisms societies use when transitioning from authoritarian rule or armed conflict to peace and democracy to address legacies of mass atrocity and human rights violations.
Il a soutenu que le concept de politique de la mémoire décrit comment les acteurs politiques et les communautés se disputent l'interprétation des événements historiques particulièrement traumatiques et que les narratives historiques officielles sont toujours des expressions des relations de pouvoir présentes et des aspirations futures.|He argued that the concept of memory politics describes how political actors and communities contest the interpretation of historical events particularly traumatic ones and that official historical narratives are always expressions of present power relations and future aspirations.
Elle a soutenu que le concept de commissions vérité et réconciliation, modélisées sur l'expérience sud-africaine, reflète une philosophie distincte de justice transitionnelle mettant l'accent sur la justice restauratrice plutôt que rétributive et sur la nécessité d'une reconnaissance publique des violations passées.|She maintained that the concept of truth and reconciliation commissions, modelled on the South African experience, reflects a distinctive philosophy of transitional justice emphasising restorative over retributive justice and the need for public acknowledgment of past violations.
Il a soutenu que la philosophie de l'histoire débat si l'explication historique devrait suivre le même modèle nomologique-déductif que la science naturelle ou si elle requiert des approches compréhensives et interprétatives qui saisissent le sens des actions depuis les perspectives des agents.|He contended that the philosophy of history debates whether historical explanation should follow the same deductive-nomological model as natural science or whether it requires understanding interpretive approaches that grasp the meaning of actions from the agents' perspectives.
Elle a soutenu que le concept d'identité narrative, développé par Paul Ricoeur, soutient que les identités personnelles et collectives sont constituées par les histoires que nous racontons sur nous-mêmes et que comprendre l'expérience historique et personnelle requiert une configuration narrative de l'expérience temporelle.|She argued that the concept of narrative identity, developed by Paul Ricoeur, holds that personal and collective identities are constituted through the stories we tell about ourselves and that understanding historical and personal experience requires narrative configuration of temporal experience.
Il a soutenu que l'herméneutique philosophique de Gadamer, développant le concept heideggérien de pré-structure, soutient que toute compréhension implique une fusion d'horizons entre l'interprète et le texte et que la tradition dans laquelle nous nous tenons favorise plutôt qu'elle n'entrave la compréhension.|He maintained that Gadamer's philosophical hermeneutics, expanding on Heidegger's concept of fore-structure, argues that all understanding involves a fusion of horizons between the interpreter and the text and that the tradition within which we stand enables rather than hinders understanding.
Elle a soutenu que le concept de verstehen ou compréhension interprétative dans les sciences humaines, théorisé par Dilthey et Weber, soutient que l'explication scientifique sociale requiert de saisir les significations subjectives que les agents attribuent à leurs actions plutôt que de les subsumer sous des lois causales.|She contended that the concept of verstehen or interpretive understanding in the human sciences, theorised by Dilthey and Weber, holds that social scientific explanation requires grasping the subjective meanings agents attribute to their actions rather than subsuming them under causal laws.
Il a soutenu que le concept des types idéaux de Max Weber décrit des construits théoriques qui mettent l'accent sur certaines caractéristiques de la réalité sociale à des fins analytiques sans prétendre représenter parfaitement la réalité historique servant de standards pour mesurer les déviations dans les cas empiriques.|He argued that Max Weber's concept of ideal types describes theoretical constructs that emphasise certain features of social reality for analytical purposes without claiming to perfectly represent historical reality serving as standards for measuring deviations in empirical cases.
Elle a soutenu que la thèse de l'éthique protestante de Weber soutient que l'esprit du capitalisme a trouvé une affinité élective avec l'éthique protestante calviniste notamment la doctrine de la prédestination générant un ascétisme intramondain qui a favorisé l'accumulation rationnelle systématique de la richesse.|She maintained that Weber's Protestant Ethic thesis argues that the spirit of capitalism found an elective affinity with Calvinist Protestant ethics particularly the doctrine of predestination generating a this-worldly asceticism that fostered the systematic rational accumulation of wealth.
Il a soutenu que le concept de désenchantement dans la sociologie de Weber décrit la rationalisation progressive du monde par la science et la bureaucratie entraînant la perte de magie d'unité et de sens dans le cosmos et créant ce qu'il appelait la cage de fer de la modernité.|He contended that the concept of disenchantment in Weber's sociology describes the progressive rationalisation of the world through science and bureaucracy resulting in the loss of magic unity and meaning from the cosmos and creating what he called the iron cage of modernity.
Elle a soutenu que la sociologie de la religion de Durkheim, développée dans Les Formes élémentaires de la vie religieuse, soutient que les phénomènes religieux expriment la dimension sociale de la vie humaine et que le sacré est une représentation de la société elle-même révélant les fondements sociaux de la religion.|She argued that Durkheim's sociology of religion, developed in The Elementary Forms of Religious Life, holds that religious phenomena express the social dimension of human life and that the sacred is a representation of society itself revealing the social foundations of religion.
Il a soutenu que le concept d'anomie dans la sociologie de Durkheim décrit une condition de déréglementation dans laquelle les normes sociales qui régulent ordinairement le comportement individuel s'effondrent produisant une perte d'intégration sociale et des taux croissants de déviance et de suicide.|He maintained that the concept of anomie in Durkheim's sociology describes a condition of normlessness in which the social norms that ordinarily regulate individual behaviour break down producing a loss of social integration and rising rates of deviance and suicide.
Elle a soutenu que le concept de fait social dans la sociologie de Durkheim décrit des phénomènes qui sont externes à la conscience individuelle qui contraignent l'action individuelle et qui existent indépendamment de toute instance individuelle d'eux nécessitant une explication distinctement sociologique.|She contended that the concept of social fact in Durkheim's sociology describes phenomena that are external to individual consciousness that constrain individual action and that exist independently of any individual instance of them requiring distinctively sociological explanation.
Il a soutenu que le concept d'interactionnisme symbolique en sociologie, associé à Mead, Blumer et Goffman, soutient que la réalité sociale est constituée par les interprétations signifiantes que les acteurs apportent à leurs interactions et les processus de création de sens négociée dans les rencontres sociales.|He argued that the concept of symbolic interactionism in sociology, associated with Mead Blumer and Goffman, holds that social reality is constituted through the meaningful interpretations that actors bring to their interactions and the processes of negotiated meaning-making in social encounters.
Elle a soutenu que le concept d'ethnométhodologie, développé par Harold Garfinkel, étudie les méthodes pratiques qu'emploient les membres ordinaires de la société pour produire et reconnaître l'ordre social ordinaire, révélant que la réalité sociale est un accomplissement pratique continu nécessitant un travail actif constant.|She maintained that the concept of ethnomethodology, developed by Harold Garfinkel, studies the practical methods everyday members of society use to produce and recognise ordinary social order revealing that social reality is an ongoing practical accomplishment requiring constant active work.
Il a soutenu que la sociologie de la connaissance, associée à Mannheim et plus tard au programme fort de Bloor et Barnes, examine comment la position sociale les intérêts de groupe et le contexte historique façonnent la production l'acceptation et la distribution des revendications de connaissance y compris scientifiques.|He contended that the sociology of knowledge, associated with Mannheim and later with the strong programme of Bloor and Barnes, examines how social location group interests and historical context shape the production acceptance and distribution of knowledge claims including scientific ones.
Elle a soutenu que la théorie de l'acteur-réseau développée par Latour, Callon et Law remet en question la distinction entre le social et le naturel, soutenant que des réseaux d'acteurs humains et non humains hétérogènes sont conjointement responsables de la production de faits de technologies et d'arrangements sociaux.|She argued that actor-network theory developed by Latour Callon and Law challenges the distinction between the social and the natural holding that networks of heterogeneous human and non-human actors are jointly responsible for producing facts technologies and social arrangements.
Il a soutenu que le concept de politique ontologique dans les études de science et technologie, suivant Mol et Law, soutient qu'il n'y a pas de réalité unique prédonnée mais que différentes pratiques enactent différentes réalités et que des choix politiques sont enchâssés dans l'enactement des ontologies.|He maintained that the concept of ontological politics in science and technology studies, following Mol and Law, holds that there is no single pre-given reality but that different practices enact different realities and that political choices are embedded in the enactment of ontologies.
Elle a soutenu que la philosophie de la psychiatrie soulève des questions sur la question de savoir si les troubles mentaux sont des genres naturels des catégories biologiques ou des constructions sociales et si le diagnostic psychiatrique suit des entités pathologiques objectives ou reflète des normes culturelles et des relations de pouvoir.|She contended that the philosophy of psychiatry raises questions about whether mental disorders are natural kinds biological categories or social constructions and whether psychiatric diagnosis tracks objective disease entities or reflects cultural norms and power relations.
Il a soutenu que la philosophie du sport examine la nature du sport des jeux et de l'excellence athlétique soulevant des questions sur le rôle des règles dans la constitution des jeux le concept de fair-play la justification des réglementations de dopage et la valeur du sport dans la vie humaine.|He argued that the philosophy of sport examines the nature of sport games and athletic excellence raising questions about the role of rules in constituting games the concept of fair play the justification for performance-enhancing regulations and the value of sport in human life.
Elle a soutenu que la philosophie de la musique soulève des questions fondamentales sur le statut ontologique des œuvres musicales la nature de l'expression musicale la relation entre partition performance et œuvre et la question de savoir si la musique peut représenter des idées et des émotions extra-musicales.|She maintained that the philosophy of music raises fundamental questions about the ontological status of musical works the nature of musical expression the relationship between score performance and work and whether music can represent extra-musical ideas and emotions.
Il a soutenu que la philosophie de la littérature soulève des questions sur la valeur cognitive de la littérature si elle constitue une forme distincte de connaissance de l'expérience humaine et comment l'interprétation littéraire diffère de ou ressemble à d'autres formes d'interprétation et de compréhension.|He contended that the philosophy of literature raises questions about the cognitive value of literature whether literature constitutes a distinct form of knowledge about human experience and how literary interpretation differs from or resembles other forms of interpretation and understanding.
Elle a soutenu que le concept d'expérience esthétique en philosophie de l'art implique un mode d'attention distinctif qui est désintéressé au sens de Kant, absorbé, contemplatif et centré sur les qualités intrinsèques de l'objet plutôt que sur sa valeur instrumentale.|She argued that the concept of aesthetic experience in philosophy of art involves a distinctive mode of attention that is disinterested in Kant's sense absorbed contemplative and focused on the intrinsic qualities of the object rather than its instrumental value.
Il a soutenu que la théorie institutionnelle de l'art associée à Dickie et Danto soutient que ce qui fait qu'une chose est de l'art n'est pas ses propriétés intrinsèques mais sa relation au monde de l'art le contexte historique institutionnel dans lequel elle est présentée et reçue.|He maintained that the institutional theory of art associated with Dickie and Danto holds that what makes something art is not its intrinsic properties but its relation to the artworld the historical institutional context in which it is presented and received.
Elle a soutenu que le concept du monde de l'art et l'argument de l'indiscernabilité de Danto, illustrés par les Brillo Boxes de Warhol, révèlent que ce qui distingue l'art du non-art ne peut pas être seulement des propriétés visuelles mais requiert une théorie de l'art et un contexte historico-artistique.|She contended that Arthur Danto's concept of the artworld and the indiscernibility argument, exemplified by Warhol's Brillo Boxes, reveals that what distinguishes art from non-art cannot be visual properties alone but requires a theory of art and an art-historical context.
Il a soutenu que le concept d'avant-garde en théorie artistique décrit des mouvements qui cherchent à transgresser ou démanteler les conventions esthétiques établies et que l'histoire de l'art peut être comprise comme une succession de ces transgressions menant à une remise en question progressive des limites de l'art.|He argued that the concept of the avant-garde in art theory describes movements that seek to transgress or dismantle established aesthetic conventions and that the history of art can be understood as a succession of such transgressions leading to progressive questioning of the boundaries of art.
Elle a soutenu que le concept de postmodernisme dans l'art la culture et la philosophie décrit une condition caractérisée par l'incrédulité envers les métarécits comme le soutient Lyotard le pastiche la fragmentation de l'identité et le brouillage des frontières entre haute culture et culture populaire.|She maintained that the concept of postmodernism in art culture and philosophy describes a condition characterised by incredulity towards metanarratives as Lyotard argued pastiche fragmentation of identity and a blurring of the boundaries between high and popular culture.
Il a soutenu que la philosophie de la culture soulève des questions sur la question de savoir si les cultures doivent être évaluées par des standards universels ou seulement par leurs propres normes internes, le relativisme culturel plaidant pour le second et l'universalisme plaidant que l'évaluation cross-culturelle est possible et nécessaire.|He contended that the philosophy of culture raises questions about whether cultures should be evaluated by universal standards or only by their own internal norms with cultural relativism arguing for the latter and universalism arguing that cross-cultural evaluation is possible and necessary.
Elle a soutenu que le concept d'impérialisme culturel décrit l'imposition de valeurs pratiques et produits culturels des cultures dominantes aux cultures dominées particulièrement à travers les médias et le capitalisme mondial soulevant des questions sur la relation entre culture pouvoir et identité.|She argued that the concept of cultural imperialism describes the imposition of cultural values practices and products from dominant to dominated cultures particularly through media and global capitalism raising questions about the relationship between culture power and identity.
Il a soutenu que le concept de capital culturel dans la sociologie de Bourdieu décrit les formes de connaissances compétences et goûts culturels que les individus acquièrent par socialisation et qui fonctionnent comme ressources dans les champs sociaux permettant la reproduction du privilège de classe à travers le système éducatif.|He maintained that the concept of cultural capital in Bourdieu's sociology describes the forms of knowledge skills and cultural tastes that individuals acquire through socialisation and that function as resources in social fields enabling reproduction of class privilege through the educational system.
Elle a soutenu que la philosophie de la religion confronte la question épistémologique de savoir si la croyance en Dieu peut être rationnelle sans preuve propositionnelle avec l'épistémologie réformée associée à Plantinga soutenant que la croyance en Dieu peut être proprement basique.|She contended that the philosophy of religion confronts the epistemological question of whether belief in God can be rational without propositional evidence with reformed epistemology associated with Plantinga arguing that belief in God can be properly basic.
Il a soutenu que le concept d'expérience religieuse, analysé par William James, Schleiermacher et Wittgenstein, soulève des questions sur la question de savoir si les expériences religieuses fournissent des preuves pour les croyances religieuses et si la diversité des expériences religieuses à travers les traditions soutient ou fragilise leurs titres épistémiques.|He argued that the concept of religious experience, analysed by William James Schleiermacher and Wittgenstein, raises questions about whether religious experiences provide evidence for religious beliefs and whether the diversity of religious experiences across traditions supports or undermines their epistemic credentials.
Elle a soutenu que le problème du mal en philosophie de la religion soutient que l'existence de la souffrance gratuite est incompatible avec un Dieu omnipotent omniscient et omnibenveillant avec les théodicées tentant de réconcilier l'existence de Dieu avec le mal et la souffrance.|She maintained that the problem of evil in philosophy of religion argues that the existence of gratuitous suffering is incompatible with an omnipotent omniscient and omnibenevolent God with theodicies attempting to reconcile God's existence with evil and suffering.
Il a soutenu que le concept de théologie apophatique ou théologie négative soutient que Dieu transcende toutes les catégories et concepts humains et que les seules affirmations théologiques adéquates sont négatives affirmant ce que Dieu n'est pas plutôt que des descriptions positives.|He contended that the concept of apophatic theology or negative theology holds that God transcends all human categories and concepts and that the only adequate theological statements are negative ones asserting what God is not rather than positive descriptions.
Elle a soutenu que le concept de sécularisation dans la sociologie de la religion décrit le processus historique par lequel la religion perd de sa signification sociale de son influence politique et de sa saillance individuelle dans les sociétés en modernisation bien que des débats continuent sur la question de savoir si ce processus est universel ou spécifique à certains contextes culturels.|She argued that the concept of secularisation in sociology of religion describes the historical process by which religion loses social significance political influence and individual salience in modernising societies though debates continue about whether this process is universal or specific to certain cultural contexts.
Il a soutenu que la philosophie de la mondialisation examine si l'intensification des interconnexions mondiales par le commerce la finance la technologie et la migration représente une forme qualitativement nouvelle d'organisation sociale ou est mieux comprise comme une accélération de processus internationaux de longue date.|He maintained that the philosophy of globalization examines whether the intensification of global interconnections through trade finance technology and migration represents a qualitatively new form of social organisation or is better understood as an acceleration of longstanding international processes.
Elle a soutenu que la philosophie de la finance soulève des questions sur l'ontologie sociale de la monnaie du crédit et des instruments financiers, soutenant que les marchés financiers ne sont pas des allocateurs neutres de capital mais des sites de pouvoir de spéculation et de construction de la réalité sociale.|She contended that the philosophy of finance raises questions about the social ontology of money credit and financial instruments arguing that financial markets are not neutral allocators of capital but sites of power speculation and the construction of social reality.
Il a soutenu que le concept de néolibéralisme tel qu'analysé par des chercheurs comme Foucault, Harvey et Brown décrit une rationalité politique qui étend la logique de marché à tous les domaines sociaux construisant les sujets comme entrepreneurs d'eux-mêmes et démantelant les formes non marchandes de solidarité sociale.|He argued that the concept of neoliberalism as analysed by scholars like Foucault Harvey and Brown describes a political rationality that extends market logic to all social domains constructing subjects as entrepreneurs of themselves and dismantling non-market forms of social solidarity.
